e,l,v,h
l,p,d,r
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.11,"-0.03
"
-0.10,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.05
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.10,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.00
"
-0.10,"-0.00
"
-0.10,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.05
"
-0.09,"-0.05
"
-0.09,"-0.03
"
-0.10,"-0.00
"
-0.10,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.10,"-0.03
"
